filename,mmol/g_working_capacity,selectivity
DB1-Zn2O8N2-AZO_A-DPAC_A_No251,1.460229,34.67106
DB0-m3_o11_o29_f0_pcu.sym.27,0.429807,4.94018
DB0-m15_o16_o144_f0_fsc,1.597476,55.498105
DB12-VIPXUO_freeONLY,0.680736,121.25511
DB12-WACLEU_clean,2.692936,137.745455
DB5-hypotheticalMOF_5050202_0_0_1_23_12_11,0.19011,2.505455
DB12-ABEXUC_clean,1.053327,45.335565
DB0-m3_o24_o105_f0_fsc.sym.17,3.259493,116.709485
DB0-m3_o24_o145_f0_fsc.sym.33,1.764934,92.31477
DB12-BUQWER_clean,1.875499,307.63437
DB5-hypotheticalMOF_5069979_0_0_2_3_1_10,1.387528,110.15055
DB12-WOWBER_clean,0.022733,2.44609
DB0-m2_o11_o25_f0_pcu.sym.14,0.573879,10.56437
DB0-m3_o11_o22_f0_pcu.sym.71,1.029589,59.54658
DB12-MAYXUG_freeONLY,0.464986,96.895985
DB5-hypotheticalMOF_5038442_1_0_1_15_9_3,0.15143,2.088045
DB6-cuf_783,0.428047,4.64439
DB12-OGEBAF01_freeONLY,0.300921,6.937135
DB0-m2_o7_o9_f0_pcu.sym.94,0.703592,20.454345
DB7-ddmof_23072,0.40826,13.236525
DB5-hypotheticalMOF_5043013_2_0_1_20_25_2,0.192077,1.85018
DB0-m3_o13_o26_f0_pcu.sym.20,0.310565,6.999975
DB12-IHOTEG_clean,0.051681,3.973005
DB0-m23_o28_o29_f0_pcu,0.387599,5.11762
DB1-Cu2O8N2-irmof6_A-irmof8_A_No51,1.248945,77.950575
DB12-RUYTUC_clean,1.603684,70.721325
DB0-m2_o14_o17_f0_pcu.sym.12,1.014722,30.61682
DB0-m1_o22_o28_f0_pcu,0.186591,3.987465
DB1-Cu2O8N2-AZO_A-DABCO_A_No15,4.466832,107.61893
DB0-m3_o8_o22_f0_pcu.sym.77,0.232004,3.85314
DB0-m3_o16_o96_f0_fsc.sym.8,0.946829,25.28109
DB0-m2_o22_o25_f0_pcu.sym.14,0.768451,36.736545
DB6-cuf_4166,0.522991,12.424235
DB5-hypotheticalMOF_5082293_0_0_2_29_22_5,0.607545,8.84656
DB12-NUCYAN_clean,0.338873,45.18093
DB12-BEXRIG_clean,0.125102,2.910445
DB12-SISPUH_clean,1.820501,46.508
DB0-m2_o10_o23_f0_pcu.sym.37,1.319693,99.85199
DB0-m2_o3_o20_f0_pcu.sym.2,0.140397,1.41832
DB0-m3_o18_o24_f0_pcu.sym.82,1.142542,45.617515
DB0-m3_o158_o47_f0_fsc.sym.21,2.287041,132.260075
DB0-m2_o12_o12_f0_pcu.sym.64,0.413286,8.672565
DB12-WUFSAT_clean,1.951593,180.97119
DB7-ddmof_21306,0.249901,7.010835
DB1-Zn2O8N2-irmof20_A-irmof8_A_No39,0.357006,7.05022
DB0-m2_o17_o24_f0_pcu.sym.84,1.791179,79.619885
DB0-m2_o10_o16_f0_pcu.sym.35,1.588388,79.245965
DB12-XIHXET_clean,1.321507,213.972265
DB0-m3_o11_o23_f0_pcu.sym.144,0.539254,8.605455
DB0-m2_o22_o26_f0_pcu.sym.18,0.252897,5.196505
DB12-ZEKRIS_clean,3.511356,218.458795
DB0-m2_o10_o20_f0_pcu.sym.20,0.487979,16.958185
DB0-m3_o10_o27_f0_pcu.sym.45,1.054246,54.405015
DB12-TONLOZ_clean,3.026849,244.838235
DB0-m2_o27_o27_f0_pcu.sym.32,0.467765,7.705665
DB5-hypotheticalMOF_5064818_1_0_2_15_11_4,0.185935,2.37721
DB5-hypotheticalMOF_31059_0_0_2_1_1_2,0.741591,47.58058
DB7-ddmof_2278,0.167627,3.434295
DB12-WECBOX_clean,0.770849,71.61179
DB0-m3_o155_o151_f0_fsc.sym.48,1.466544,70.08658
DB1-Cu2O8N2-ADC_A-irmof14_A_No588,0.286044,7.92824
DB5-hypotheticalMOF_5014868_0_0_0_3_0_12,1.755414,76.73696
DB12-IYAHEX_clean,0.560035,5.45293
DB1-Zn2O8N2-ADC_A-irmof10_A_No137,3.624125,60.92963
DB1-NiN6-irmof16_A-NiC4_No9,2.445706,100.93545
DB12-ic5011133_si_004_freeONLY,1.377274,65.04393
DB0-m3_o520_o13_f0_fsc.sym.67,1.692648,75.618485
DB12-TUWPIL_freeONLY,0.912442,190.306175
DB0-m3_o22_o27_f0_pcu.sym.53,0.678196,33.95056
DB12-BEXPAX_freeONLY,1.214191,106.18576
DB5-hypotheticalMOF_33020_0_0_2_0_21_4,0.612792,9.71698
DB5-hypotheticalMOF_27949_0_0_2_2_9_7,1.456403,64.05366
DB15-pcu_N139_E120_opt,5.20574,216.43956
DB5-hypotheticalMOF_6002560_0_0_3_20_0_4,0.974055,55.263745
DB0-m3_o17_o21_f0_pcu.sym.29,0.207664,4.81409
DB7-ddmof_22282,0.308664,1.79277
DB5-hypotheticalMOF_5069848_2_1_2_3_25_8,0.149151,5.740975
DB12-QUVFAP_clean,0.346966,85.631635
DB12-NIKDEQ_clean,0.129803,2.612405
DB0-m2_o21_pds,0.116742,0.687755
DB12-PUMNIV_clean,1.304098,97.433095
DB0-m2_o7_o8_f0_pcu.sym.100,0.152388,1.885235
DB7-ddmof_5997,0.407763,10.7364
DB0-m2_o14_o17_f0_pcu.sym.92,1.419199,57.27165
DB12-REYPES_clean,0.922769,162.41933
DB12-HOWQEQ_clean,1.215924,289.305785
DB12-TERFUT_freeONLY,1.03175,37.84349
DB7-ddmof_7179,0.260971,11.4421
DB0-m3_o8_o19_f0_pcu.sym.130,0.185106,1.677445
DB0-m3_o10_o23_f0_pcu.sym.38,0.633565,25.090675
DB0-m3_o96_o11_f0_fsc.sym.19,1.735903,65.159965
DB0-m18_o4_o80_f0_fsc,3.312363,231.121785
DB0-m2_o10_o12_f0_pcu.sym.48,1.306867,74.545825
DB5-hypotheticalMOF_5060134_0_0_2_12_11_8,0.513534,13.00587
DB0-m3_o152_o22_f0_fsc.sym.69,2.677345,113.1582
DB0-m3_o114_o13_f0_fsc.sym.6,2.614686,122.478685
DB0-m3_o155_o1470_f0_fsc.sym.10,1.912992,82.608565
DB0-m2_o24_o29_f0_pcu.sym.67,1.132488,44.794315
DB12-VUQJUN_clean,2.66585,103.62318
DB13-hxg-Syn030513,1.135587,51.85209
DB0-m2_o22_o26_f0_pcu.sym.83,0.497417,9.84165
DB5-hypotheticalMOF_7045_1_1_0_11_2_10,1.392094,89.690385
DB0-m3_o2_o2_f0_pcu.sym.26,0.166745,3.54898
DB12-NAQQIH_clean,3.039089,38.35418
DB0-m2_o5_o14_f0_nbo.sym.27,0.136702,2.938225
DB5-hypotheticalMOF_5047859_1_0_1_19_16_8,0.311668,3.592585
DB1-Zn2O8N2-AZO_A-irmof14_A_No511,0.507637,9.45499
DB0-m3_o146_o22_f0_fsc.sym.3,1.955783,68.26267
DB0-m18_o5_o16_f0_pcu,1.096007,39.955945
DB12-JUWBIO_freeONLY,1.86082,219.49527
DB0-m2_o13_o24_f0_pcu.sym.8,0.494854,27.14539
DB12-TISPAO_clean,0.693134,41.69939
DB5-hypotheticalMOF_5052044_1_0_1_27_11_3,0.201237,2.866115
DB5-hypotheticalMOF_5048761_3_0_1_19_19_6,0.472209,4.747255
DB0-m2_o12_o25_f0_pcu.sym.35,0.599281,11.96226
DB12-IFEHUY_clean,1.907387,76.346395
DB0-m2_o14_o20_f0_pcu.sym.58,0.548122,17.09585
DB0-m3_o12_o21_f0_pcu.sym.47,0.268602,3.53018
DB0-m3_o11_o25_f0_pcu.sym.152,0.631463,12.939055
DB12-PUFXIZ_clean,1.192016,131.820045
DB6-cuf_9484,0.366098,5.388645
DB7-ddmof_22870,0.139244,2.823575
DB12-PENZUE_freeONLY,0.092796,3.78467
DB0-m3_o17_o25_f0_pcu.sym.106,0.470183,11.40617
DB0-m2_o17_o21_f0_pcu.sym.26,0.34073,3.899555
DB0-m2_o8_o18_f0_pcu.sym.25,0.219674,2.76985
DB0-m3_o10_o25_f0_pcu.sym.16,1.369365,57.181865
DB0-m2_o12_o27_f0_pcu.sym.108,0.776241,26.754025
DB5-hypotheticalMOF_28050_0_0_2_2_17_12,1.317617,33.20161
DB5-hypotheticalMOF_33403_0_0_2_13_17_14,0.932555,16.66224
DB5-hypotheticalMOF_6000355_0_0_3_12_4_6,0.027539,0.588635
DB12-OLEKUM_manual,0.803141,43.14493
DB5-hypotheticalMOF_35272_0_0_2_5_10_11,2.398717,179.82492
DB12-VUCDAA_clean,1.698646,147.567085
DB5-hypotheticalMOF_21403_1_0_1_11_9_6,0.613968,18.277675
DB12-VASFAZ_clean,2.544342,135.175025
DB15-pcu_N123_E223_opt,0.623306,6.680495
DB0-m3_o90_o22_f0_fsc.sym.21,1.422105,77.571395
DB0-m2_o17_o21_f0_pcu.sym.6,0.23777,3.47454
DB0-m3_o12_o22_f0_pcu.sym.4,0.816422,36.39827
DB12-GULWOA_clean,2.140916,158.56191
DB5-hypotheticalMOF_3001075_1_0_1_34_34_11,0.628067,17.641505
DB12-AGIMOU_clean,1.343429,371.97494
DB0-m3_o22_o25_f0_pcu.sym.40,1.270949,52.353835
DB1-Zn2O8N2-irmof6_A-irmof8_A_No342,0.994484,47.71613
DB12-FAVGUH_freeONLY,0.586322,102.23661
DB12-ROGSAI_clean,2.170417,80.647465
DB12-TIVYAZ01_clean,2.056774,59.342885
DB12-IKOPIJ_freeONLY,1.698571,86.5638
DB5-hypotheticalMOF_5046465_0_0_1_19_7_3,0.457061,20.950835
DB5-hypotheticalMOF_5068718_1_1_2_20_16_2,1.297939,105.83544
DB12-XUKLAS_clean,1.611874,503.93475
DB7-ddmof_22064,0.151349,2.20289
DB12-EVUBAY_clean,0.375587,5.379885
DB0-m3_o24_o25_f0_pcu.sym.14,0.464279,10.35853
DB12-COQJAV_freeONLY,1.682418,108.93915
DB5-hypotheticalMOF_5039752_0_0_1_15_11_14,1.990852,75.91195
DB5-hypotheticalMOF_5046808_2_0_1_19_25_3,0.111784,2.065975
DB12-QOHTUD_freeONLY,0.458053,47.154615
DB0-m3_o24_o430_f0_fsc.sym.19,1.351096,81.87206
DB0-m3_o13_o24_f0_pcu.sym.28,0.493751,11.73722
DB5-hypotheticalMOF_5047180_1_1_1_19_10_4,2.064278,139.178185
DB12-WIDZUG_freeONLY,1.454919,116.110985
DB12-LABPOV_freeONLY,0.314334,64.10769
DB15-sxc_N123_E162_opt,2.244338,34.51165
DB5-hypotheticalMOF_5046078_0_0_1_3_20_9,0.380041,7.37537
DB0-m3_o12_o22_f0_pcu.sym.10,0.271507,11.281545
DB0-m2_o7_o29_f0_pcu.sym.13,0.244956,1.38824
DB5-hypotheticalMOF_5061981_2_0_2_18_1_3,0.29147,8.687115
DB5-hypotheticalMOF_35730_0_0_2_14_25_5,0.939069,20.09407
DB12-USUPUV_clean,0.116867,22.84345
DB12-UTIYED_clean,0.501064,128.84684
DB12-SEQTEP_clean,3.127356,159.6407
DB12-KEWZET_clean,3.472436,150.85016
DB5-hypotheticalMOF_19577_0_0_1_24_25_14,0.260286,2.85055
DB0-m3_o16_o22_f0_pcu.sym.126,2.348146,125.99213
DB0-m2_o17_o23_f0_pcu.sym.35,0.728065,15.235455
DB0-m3_o145_o22_f0_fsc.sym.14,2.719979,126.56751
DB5-hypotheticalMOF_22753_0_0_1_0_11_2,1.89921,112.519125
DB0-m3_o24_o27_f0_pcu.sym.47,0.72877,22.633055
DB0-m3_o22_o143_f0_fsc.sym.12,2.585653,143.18219
DB15-qtz_N76_E92_opt,0.189167,2.51178
DB12-cg401887b_si_003_clean,2.615337,79.592905
DB0-m2_o12_o12_f0_pcu.sym.24,1.861285,91.888755
DB5-hypotheticalMOF_5060000_0_0_2_12_10_8,0.334378,6.583445
DB5-hypotheticalMOF_5039409_0_0_1_15_24_8,0.185806,2.06509
DB0-m3_o14_o29_f0_pcu.sym.6,0.67567,12.7592
DB7-ddmof_23029,0.165349,3.11704
DB5-hypotheticalMOF_5076687_0_0_2_1_1_8,2.466176,162.158925
DB5-hypotheticalMOF_22914_0_0_1_13_17_14,1.353202,32.15584
DB0-m2_o14_o19_f0_pcu.sym.26,0.967678,54.226555
DB0-m2_o12_o27_f0_pcu.sym.26,0.18703,5.202355
DB0-m3_o12_o18_f0_pcu.sym.39,1.395225,57.751655
DB0-m3_o14_o28_f0_pcu.sym.56,1.014467,42.47868
DB12-INOMOP01_clean,3.199836,108.25163
DB0-m2_o11_o28_f0_pcu.sym.37,0.949611,38.22989
