,linker_id,freq,smi
148,L44797,122,n1ccc(cc1)c1ccc(cc1)c1ccncc1
149,L43414,121,[O-]C(=O)C(=CC(=O)[O-])OCC
150,L57204,121,[O-]C(=O)C=CC(=C(C(=O)[O-])N)N
151,L26102,121,CC(=C(C#CC(=O)[O-])C)C#CC(=O)[O-]
152,L24751,120,[O-]C(=O)C#CC12C3C4C2(C2(C1C3(C42C#CC(=O)[O-])C)C)C
153,L24707,120,N#CC12C3C4C2(C2(C1C3(C42C#N)C#CC(=O)[O-])C#N)C#CC(=O)[O-]
154,L3929,119,CCCc1cc(C#CC(=O)[O-])ccc1C#CC(=O)[O-]
155,L4201,118,COC(=CC=CC(=O)[O-])C(=O)[O-]
156,L55448,118,[O-]C(=O)C(=CC(=C(C(=O)[O-])F)F)F
157,L55589,118,[O-]C(=O)C#Cc1cc(Br)c(c(c1)Br)C#CC(=O)[O-]
158,L34052,117,[O-]C(=O)C#Cc1ccc(c(c1Cl)Cl)C#CC(=O)[O-]
159,L52808,117,ClC(=C(C#CC(=O)[O-])Cl)C#CC(=O)[O-]
160,L3787,116,CCc1cc(C#CC(=O)[O-])c(c(c1C#CC(=O)[O-])CC)CC
161,L37009,116,N#CC(=C(C#CC(=O)[O-])C#N)C#CC(=O)[O-]
162,L85,116,n1ccc(cc1)C#Cc1ccncc1
163,L18521,116,N#CC12C3C4C2C2C1C3C42C#N
164,L10511,115,[O-]C(=O)c1cc(F)c(cc1F)C(=O)[O-]
165,L19163,113,N=NC12C3C4C2(C2(C1C3(C42N=N)C#CC(=O)[O-])N=N)C#CC(=O)[O-]
166,L13348,113,N#CC=C(C#N)N
167,L20139,112,[O-]C(=O)C#CC12C3C4C2(C2(C1(C3C42C#CC(=O)[O-])F)F)F
168,L48324,112,[O-]C(=O)C=C(C(=C(C(=O)[O-])C)C)C
169,L37026,112,[O-]C(=O)C=C(C(=C(C(=O)[O-])O)O)O
170,L8503,112,N#Cc1cc(C#CC(=O)[O-])c(cc1C#CC(=O)[O-])C#N
171,L39297,111,[O-]C(=O)C12C3C4C2(C2(C1C3(C42C(=O)[O-])N)N)N
172,L49034,110,[O-]C(=O)C#CC12C3C4C2C2(C1C3C42C#CC(=O)[O-])Br
173,L23666,110,[O-]C(=O)C#Cc1cc(N)c(cc1N)C#CC(=O)[O-]
174,L23388,110,[O-]C(=O)C=C(C=C(C(=O)[O-])C)C
175,L11302,109,N#Cc1cc(C#CC(=O)[O-])cc(c1C#CC(=O)[O-])C#N
176,L4923,109,[O][C]C([O])([O])[O]
177,L42290,109,N#CC=C(C#N)Br
178,L54582,108,[O-]C(=O)C12C3C4C2(C2(C1C3(C42C(=O)[O-])Br)Br)Br
179,L33869,108,n1ccc(cc1)N=Nc1ccncc1
180,L23807,108,COC(=CC(=O)[O-])C(=O)[O-]
181,L4006,107,n1ccc(cc1)c1ccncc1
182,L38138,107,N#CC=C(C#N)F
183,L44016,107,N#Cc1cc(F)c(c(c1F)F)C#N
184,L45752,107,[O-]C(=O)C#Cc1ccc(c(c1N)N)C#CC(=O)[O-]
185,L16485,106,[O-]C(=O)c1cc(F)c(c(c1)F)C(=O)[O-]
186,L46198,106,[O-]C(=O)C=C(C(=C(C(=O)[O-])Cl)Cl)Cl
187,L44703,105,[O-]C(=O)[C][O]
188,L51777,105,[O-]C(=O)c1cc(C)c(c(c1C)C)C(=O)[O-]
189,L48473,104,[O-]C(=O)c1cc(Cl)c(cc1Cl)C(=O)[O-]
190,L35894,104,N=Nc1cc(C#CC(=O)[O-])ccc1C#CC(=O)[O-]
191,L4329,104,N#CC=C(C#N)O
192,L20234,103,[O-]C(=O)C#Cc1ccc(c(c1C)C)C#CC(=O)[O-]
193,L56854,103,[O-]C(=O)C12C3C4C2(C2(C1C3(C42C(=O)[O-])C)C)C
194,L54186,102,[O-]C(=O)c1cc(O)c(c(c1)O)C(=O)[O-]
195,L25630,101,[O-]C(=O)C=C(C(=C(C(=O)[O-])N)N)N
