,filename,mmol/g_working_capacity,selectivity
324,DB12-WIDZUG_freeONLY,1.454919,116.110985
325,DB12-LABPOV_freeONLY,0.314334,64.10769
326,DB15-sxc_N123_E162_opt,2.244338,34.51165
327,DB5-hypotheticalMOF_5046078_0_0_1_3_20_9,0.380041,7.37537
328,DB0-m3_o12_o22_f0_pcu.sym.10,0.271507,11.281545
329,DB0-m2_o7_o29_f0_pcu.sym.13,0.244956,1.38824
330,DB5-hypotheticalMOF_5061981_2_0_2_18_1_3,0.29147,8.687115
331,DB5-hypotheticalMOF_35730_0_0_2_14_25_5,0.939069,20.09407
332,DB12-USUPUV_clean,0.116867,22.84345
333,DB12-UTIYED_clean,0.501064,128.84684
334,DB12-SEQTEP_clean,3.127356,159.6407
335,DB12-KEWZET_clean,3.472436,150.85016
336,DB5-hypotheticalMOF_19577_0_0_1_24_25_14,0.260286,2.85055
337,DB0-m3_o16_o22_f0_pcu.sym.126,2.348146,125.99213
338,DB0-m2_o17_o23_f0_pcu.sym.35,0.728065,15.235455
339,DB0-m3_o145_o22_f0_fsc.sym.14,2.719979,126.56751
340,DB5-hypotheticalMOF_22753_0_0_1_0_11_2,1.89921,112.519125
341,DB0-m3_o24_o27_f0_pcu.sym.47,0.72877,22.633055
342,DB0-m3_o22_o143_f0_fsc.sym.12,2.585653,143.18219
343,DB15-qtz_N76_E92_opt,0.189167,2.51178
344,DB12-cg401887b_si_003_clean,2.615337,79.592905
345,DB0-m2_o12_o12_f0_pcu.sym.24,1.861285,91.888755
346,DB5-hypotheticalMOF_5060000_0_0_2_12_10_8,0.334378,6.583445
347,DB5-hypotheticalMOF_5039409_0_0_1_15_24_8,0.185806,2.06509
348,DB0-m3_o14_o29_f0_pcu.sym.6,0.67567,12.7592
349,DB7-ddmof_23029,0.165349,3.11704
350,DB5-hypotheticalMOF_5076687_0_0_2_1_1_8,2.466176,162.158925
351,DB5-hypotheticalMOF_22914_0_0_1_13_17_14,1.353202,32.15584
352,DB0-m2_o14_o19_f0_pcu.sym.26,0.967678,54.226555
353,DB0-m2_o12_o27_f0_pcu.sym.26,0.18703,5.202355
354,DB0-m3_o12_o18_f0_pcu.sym.39,1.395225,57.751655
355,DB0-m3_o14_o28_f0_pcu.sym.56,1.014467,42.47868
356,DB12-INOMOP01_clean,3.199836,108.25163
357,DB0-m2_o11_o28_f0_pcu.sym.37,0.949611,38.22989
358,DB5-hypotheticalMOF_5065385_1_0_2_15_16_2,0.19424,1.67544
359,DB12-OQOXAV_clean,1.393388,482.22868
360,DB12-IBUBAL_clean,1.251929,94.94492
361,DB12-SETRAM_clean,0.753207,20.653535
362,DB5-hypotheticalMOF_5066487_0_0_2_8_2_8,0.995866,63.231245
363,DB7-ddmof_17842,0.244146,5.569185
364,DB12-YOPMAS_clean,0.213935,179.02156
365,DB12-CAKFEB_clean,0.138224,3.729135
366,DB0-m2_o13_o24_f0_pcu.sym.27,0.236046,9.41556
367,DB12-NORJEL_freeONLY,1.050809,80.524425
368,DB12-XUCNOZ_clean,1.527575,154.288965
369,DB5-hypotheticalMOF_17904_2_0_1_21_26_6,0.147028,1.939275
370,DB12-WAHGIY_clean,1.424731,197.278805
371,DB15-wmb_N144_E44_opt,1.389718,18.564825
372,DB12-CAGXIU_clean,1.448615,224.965675
373,DB0-m9_o17_o24_f0_sra.sym.59,2.232115,137.76913
374,DB0-m2_o11_o20_f0_pcu.sym.76,0.225608,3.276385
375,DB12-LUFNEG_freeONLY,2.832072,248.091205
376,DB0-m3_o16_o24_f0_pcu.sym.46,0.772947,38.062235
377,DB5-hypotheticalMOF_5066498_1_1_2_8_21_0,0.014341,0.154315
378,DB12-IHERIY_freeONLY,0.635884,334.518475
379,DB0-m3_o10_o14_f0_pcu.sym.29,2.304645,183.883975
380,DB0-m3_o12_o22_f0_pcu.sym.137,1.293781,71.444775
381,DB0-m3_o7_o24_f0_pcu.sym.90,0.522328,8.971195
382,DB0-m2_o7_o24_f0_pcu.sym.6,0.138783,2.81068
383,DB0-m2_o8_o23_f0_pcu.sym.93,0.388782,6.78166
384,DB5-hypotheticalMOF_5052075_0_0_1_27_11_5,0.542129,13.32405
385,DB0-m23_o20_o22_f0_pcu,0.849663,45.422485
386,DB12-REDYEG_freeONLY,0.972337,137.16922
387,DB12-FONPUV_freeONLY,1.572961,145.64818
388,DB0-m3_o27_o27_f0_pcu.sym.107,0.453359,6.181105
389,DB5-hypotheticalMOF_6002802_0_0_3_3_7_7,2.201265,204.943545
390,DB5-hypotheticalMOF_5037976_3_1_1_18_16_2,0.968318,31.78085
391,DB0-m2_o22_o23_f0_pcu.sym.2,0.390051,9.55513
392,DB0-m3_o18_o149_f0_fsc.sym.42,3.018888,106.00872
393,DB0-m3_o147_o159_f0_fsc.sym.5,3.040982,151.31131
394,DB5-hypotheticalMOF_5082683_0_0_2_29_8_5,1.134781,34.40171
395,DB0-m3_o12_o13_f0_pcu.sym.39,0.907486,34.04611
396,DB13-dia-Syn033854,0.223259,1.18059
397,DB12-OLANEW_clean,2.978305,163.114445
398,DB5-hypotheticalMOF_5059817_1_0_2_12_1_5,1.129063,72.61709
399,DB0-m3_o1530_o155_f0_fsc.sym.14,1.707565,50.89301
400,DB7-ddmof_4070,0.359831,24.93138
401,DB5-hypotheticalMOF_5064587_2_0_2_15_1_4,0.249425,2.99427
402,DB0-m3_o12_o19_f0_pcu.sym.6,0.154017,3.592055
403,DB5-hypotheticalMOF_5067617_1_0_2_20_17_7,0.558908,6.327625
404,DB12-CADZIT_freeONLY,2.218507,249.99114
405,DB15-pcu_N123_E112_opt,0.867391,16.84476
406,DB12-UXABUR_clean,0.184623,4.452925
407,DB12-IBUYAH_freeONLY,0.433719,50.35134
408,DB12-QOHYET_clean,2.34406,177.232155
409,DB0-m3_o1490_o22_f0_fsc.sym.8,2.264731,148.456765
410,DB12-LAVTOT_clean,1.31337,43.94282
411,DB0-m2_o12_o19_f0_pcu.sym.24,0.554243,14.896695
412,DB12-KIPKEB_clean,0.543809,22.13797
413,DB12-GOQXAN_clean,2.649772,155.17621
